Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
12/11/2019,2019,BMW X3,238260,5,North America,United States,Dealership
29/04/2019,2019,BMW 2 Series,189317,4,North America,United States,Dealership
23/12/2019,2019,BMW Z4,200509,4,North America,United States,Dealership
19/10/2019,2019,BMW 3 Series,460641,8,North America,United States,Dealership
05/03/2019,2019,BMW X5,882957,14,North America,United States,Wholesale
06/07/2019,2019,BMW X5,754419,9,North America,United States,Wholesale
03/09/2019,2019,BMW 7 Series,430424,4,North America,United States,Dealership
28/03/2019,2019,BMW 3 Series,193028,4,North America,United States,Dealership
19/06/2019,2019,BMW 5 Series,231901,3,North America,United States,Wholesale
22/04/2019,2019,BMW M4,179091,2,North America,United States,Dealership
01/12/2019,2019,BMW 3 Series,359716,7,North America,United States,Wholesale
29/09/2019,2019,BMW X7,659698,8,North America,United States,Dealership
26/01/2019,2019,BMW 4 Series,292165,5,North America,United States,Wholesale
07/10/2019,2019,BMW M3,88469,1,North America,United States,Wholesale
06/01/2019,2019,BMW 4 Series,394244,7,North America,United States,Dealership
06/03/2019,2019,BMW X3,257549,5,North America,United States,Wholesale
10/05/2019,2019,BMW X4,157941,3,North America,United States,Wholesale
17/12/2019,2019,BMW X5,399838,6,North America,United States,Wholesale
13/04/2019,2019,BMW 4 Series,231377,4,North America,United States,Dealership
09/11/2019,2019,BMW X5,262832,4,North America,United States,Wholesale
19/09/2019,2019,BMW 7 Series,389851,4,North America,United States,Wholesale
05/10/2019,2019,BMW 3 Series,338025,6,North America,United States,Dealership
10/09/2019,2019,BMW X5,817968,10,North America,United States,Dealership
12/09/2019,2019,BMW 3 Series,265395,5,North America,United States,Dealership
14/11/2019,2019,BMW X3,466787,9,North America,United States,Dealership
25/12/2019,2019,BMW X3,267266,5,North America,United States,Dealership
06/01/2019,2019,BMW X3,275251,6,North America,United States,Dealership
16/03/2019,2019,BMW X2,175609,4,North America,United States,Dealership
19/07/2019,2019,BMW 3 Series,229373,5,North America,United States,Wholesale
02/02/2019,2019,BMW 4 Series,155340,3,North America,United States,Wholesale
19/09/2019,2019,BMW 7 Series,746006,6,North America,United States,Dealership
